Comments
Super explanations so good
Good
Thankyou!!
Excellent explanation...
Nice
Wowwww
It was very clear and useful ..... 
Very helpful and easy to understand
Super video bhai
Thank you so much bro. Excellent explanation. Absolutely superb. keep it up
ek number explanation
I like your teaching skill and use 3 paper for each concept if any help for YouTube views then send me mail
Thanking you sir
Love you thinks bor 
you saved my semester thnx :D
good job bro.....
Ek number explanation
Wrong
"Very raw , need improvement"
The best ever seen
This just too good
Wow you are the best
Simple and elegant explanation
Grt explanation
nice
good job bro.....
Very good
Too grt
Nice video
Keept it up
